timestamp,stake_mult,prob_up_BTCUSDT,prob_down_BTCUSDT,actual_BTCUSDT,signal_BTCUSDT,dir_BTCUSDT,prob_up_ETHUSDT,prob_down_ETHUSDT,actual_ETHUSDT,signal_ETHUSDT,dir_ETHUSDT,prob_up_XRPUSDT,prob_down_XRPUSDT,actual_XRPUSDT,signal_XRPUSDT,dir_XRPUSDT
2025-10-08 06:00:00+00:00,1.0,0.5055408,0.4944592,0,0,0,0.5165052,0.48349482,1,1,1,0.49325764,0.50674236,0,0,0
2025-10-08 07:00:00+00:00,1.0,0.51301366,0.48698634,1,1,1,0.49998438,0.5000156,1,0,0,0.5015934,0.4984066,1,0,0
2025-10-08 08:00:00+00:00,1.0,0.49423748,0.5057625,1,0,0,0.49873683,0.50126314,1,0,0,0.49542153,0.5045785,1,0,0
2025-10-08 09:00:00+00:00,1.0,0.501877,0.498123,1,0,0,0.50228405,0.49771595,1,0,0,0.49370518,0.50629485,1,0,0
2025-10-08 10:00:00+00:00,1.0,0.49004123,0.50995874,0,0,0,0.49299258,0.5070074,0,0,0,0.48230815,0.51769185,0,1,-1
2025-10-08 11:00:00+00:00,1.0,0.49909043,0.50090957,0,0,0,0.50022346,0.49977654,0,0,0,0.48791334,0.51208663,0,0,0
2025-10-08 12:00:00+00:00,1.0,0.5112685,0.4887315,0,0,0,0.51551956,0.48448044,0,1,1,0.49227488,0.5077251,0,0,0
2025-10-08 13:00:00+00:00,1.0,0.5125609,0.4874391,0,1,1,0.51009715,0.48990285,0,1,1,0.4906459,0.5093541,0,0,0
2025-10-08 14:00:00+00:00,1.0,0.51034147,0.48965853,0,0,0,0.5237085,0.47629148,0,1,1,0.5125371,0.48746288,1,0,0
2025-10-08 15:00:00+00:00,1.0,0.5148511,0.4851489,1,1,1,0.5183209,0.48167908,1,1,1,0.5019047,0.49809527,1,0,0
2025-10-08 16:00:00+00:00,1.0,0.48340988,0.5165901,1,1,-1,0.48978233,0.51021767,1,1,-1,0.48477486,0.5152252,1,0,0
2025-10-08 17:00:00+00:00,1.0,0.48807457,0.51192546,0,0,0,0.48302987,0.51697016,0,1,-1,0.49058524,0.5094148,0,0,0
2025-10-08 18:00:00+00:00,1.0,0.49860978,0.5013902,0,0,0,0.4787581,0.5212419,0,1,-1,0.50196224,0.49803776,1,0,0
2025-10-08 19:00:00+00:00,1.0,0.50691754,0.49308246,0,0,0,0.49613565,0.50386435,0,0,0,0.49056864,0.50943136,0,0,0
2025-10-08 20:00:00+00:00,1.0,0.5169693,0.48303068,1,1,1,0.50578487,0.49421513,1,0,0,0.50306356,0.49693644,1,0,0
2025-10-08 21:00:00+00:00,1.0,0.49970978,0.5002902,0,0,0,0.5023682,0.4976318,0,0,0,0.50891685,0.49108315,0,0,0
2025-10-08 22:00:00+00:00,1.0,0.5172679,0.48273212,1,1,1,0.4969,0.50310004,1,0,0,0.48455492,0.5154451,0,0,0
2025-10-08 23:00:00+00:00,1.0,0.49765205,0.50234795,0,0,0,0.48356482,0.51643515,0,1,-1,0.50698185,0.49301815,0,0,0
2025-10-09 00:00:00+00:00,1.0,0.50746095,0.49253905,0,0,0,0.502651,0.49734902,0,0,0,0.51473105,0.48526895,0,0,0
2025-10-09 01:00:00+00:00,1.0,0.521357,0.478643,0,1,1,0.51861215,0.48138785,0,1,1,0.51688623,0.48311377,0,1,1
2025-10-09 02:00:00+00:00,1.0,0.5250527,0.47494727,1,1,1,0.525109,0.474891,1,1,1,0.52316123,0.47683877,1,1,1
2025-10-09 03:00:00+00:00,1.0,0.51295346,0.48704654,1,1,1,0.49632305,0.50367695,1,0,0,0.5115224,0.4884776,1,0,0
2025-10-09 04:00:00+00:00,1.0,0.5140534,0.4859466,0,1,1,0.4979373,0.5020627,0,0,0,0.5106799,0.4893201,0,0,0
2025-10-09 05:00:00+00:00,1.0,0.51240236,0.48759764,0,1,1,0.49834526,0.50165474,0,0,0,0.5132371,0.48676288,0,0,0
2025-10-09 06:00:00+00:00,1.0,0.51415277,0.48584723,0,1,1,0.5099547,0.4900453,0,1,1,0.51697326,0.48302674,0,1,1
2025-10-09 07:00:00+00:00,1.0,0.5002614,0.49973857,0,0,0,0.49809027,0.50190973,0,0,0,0.5146937,0.48530632,0,0,0
2025-10-09 08:00:00+00:00,1.0,0.52360433,0.47639567,1,1,1,0.52571046,0.47428954,1,1,1,0.5276838,0.4723162,1,1,1
2025-10-09 09:00:00+00:00,1.0,0.4939979,0.50600207,1,0,0,0.51372933,0.48627067,1,1,1,0.5059241,0.4940759,1,0,0
2025-10-09 10:00:00+00:00,1.0,0.49974555,0.50025445,1,0,0,0.49503618,0.5049638,1,0,0,0.5090125,0.49098748,1,0,0
2025-10-09 11:00:00+00:00,1.0,0.4798012,0.5201988,1,1,-1,0.5033368,0.4966632,1,0,0,0.49371257,0.50628746,1,0,0
2025-10-09 12:00:00+00:00,1.0,0.4829335,0.5170665,0,1,-1,0.49355066,0.50644934,0,0,0,0.49667826,0.50332177,0,0,0
2025-10-09 13:00:00+00:00,1.0,0.5054938,0.49450618,0,0,0,0.5107599,0.4892401,0,1,1,0.4953795,0.5046205,0,0,0
2025-10-09 14:00:00+00:00,1.0,0.52156955,0.47843045,0,1,1,0.5058476,0.49415243,0,0,0,0.5019288,0.4980712,0,0,0
2025-10-09 15:00:00+00:00,1.0,0.5229452,0.47705477,0,1,1,0.5144525,0.48554748,0,1,1,0.5077354,0.49226463,0,0,0
2025-10-09 16:00:00+00:00,1.0,0.52822447,0.47177553,1,1,1,0.51392317,0.48607683,1,1,1,0.5149915,0.48500848,1,0,0
2025-10-09 17:00:00+00:00,1.0,0.50521415,0.49478585,0,0,0,0.49188137,0.5081186,0,0,0,0.50546134,0.49453866,0,0,0
2025-10-09 18:00:00+00:00,1.0,0.52066195,0.47933805,1,1,1,0.51456684,0.48543316,1,1,1,0.50519556,0.49480444,1,0,0
2025-10-09 19:00:00+00:00,1.0,0.51680887,0.48319113,1,1,1,0.49751627,0.5024837,0,0,0,0.5034912,0.49650878,1,0,0
2025-10-09 20:00:00+00:00,1.0,0.5040442,0.49595582,1,0,0,0.49751627,0.5024837,1,0,0,0.50062335,0.49937665,1,0,0
2025-10-09 21:00:00+00:00,1.0,0.48432988,0.5156701,1,1,-1,0.49449447,0.50550556,1,0,0,0.49360415,0.5063958,1,0,0
2025-10-09 22:00:00+00:00,1.0,0.49003732,0.5099627,0,0,0,0.49449447,0.50550556,0,0,0,0.49460992,0.50539005,0,0,0
2025-10-09 23:00:00+00:00,1.0,0.48361647,0.5163835,1,1,-1,0.4913211,0.5086789,1,0,0,0.5000081,0.4999919,1,0,0
2025-10-10 00:00:00+00:00,1.0,0.49186787,0.5081321,0,0,0,0.4913211,0.5086789,0,0,0,0.49838114,0.50161886,0,0,0
2025-10-10 01:00:00+00:00,1.0,0.50959325,0.49040675,0,0,0,0.49558017,0.5044198,0,0,0,0.49986866,0.50013137,0,0,0
2025-10-10 02:00:00+00:00,1.0,0.5232823,0.4767177,0,1,1,0.5120007,0.48799932,0,1,1,0.51111966,0.48888034,1,0,0
2025-10-10 03:00:00+00:00,1.0,0.5174121,0.48258787,1,1,1,0.5062871,0.4937129,0,0,0,0.4857743,0.5142257,1,0,0
2025-10-10 04:00:00+00:00,1.0,0.52150184,0.47849816,1,1,1,0.514567,0.48543298,1,1,1,0.4994064,0.5005936,1,0,0
2025-10-10 05:00:00+00:00,1.0,0.49707618,0.50292385,0,0,0,0.48547703,0.51452297,0,1,-1,0.47571722,0.5242828,0,1,-1
2025-10-10 06:00:00+00:00,1.0,0.52193636,0.47806364,0,1,1,0.51713663,0.48286337,0,1,1,0.49818546,0.50181454,0,0,0
2025-10-10 07:00:00+00:00,1.0,0.5163204,0.4836796,1,1,1,0.5144122,0.48558778,1,1,1,0.49601415,0.5039859,1,0,0
2025-10-10 08:00:00+00:00,1.0,0.48361897,0.516381,0,1,-1,0.47901267,0.52098733,0,1,-1,0.48582622,0.51417375,0,0,0
2025-10-10 09:00:00+00:00,1.0,0.51541483,0.48458517,1,1,1,0.5066455,0.4933545,1,0,0,0.49942404,0.50057596,1,0,0
2025-10-10 10:00:00+00:00,1.0,0.49505004,0.5049499,1,0,0,0.49417925,0.50582075,1,0,0,0.48609424,0.51390576,0,0,0
2025-10-10 11:00:00+00:00,1.0,0.49283606,0.50716394,1,0,0,0.4933452,0.5066548,1,0,0,0.4912762,0.5087238,0,0,0
2025-10-10 12:00:00+00:00,1.0,0.50292164,0.49707836,1,0,0,0.49728492,0.5027151,1,0,0,0.49581257,0.50418746,1,0,0
2025-10-10 13:00:00+00:00,1.0,0.5073943,0.4926057,0,0,0,0.49983805,0.50016195,0,0,0,0.49439362,0.5056064,0,0,0
2025-10-10 14:00:00+00:00,1.0,0.5100196,0.4899804,0,0,0,0.51424026,0.48575974,0,1,1,0.4929314,0.50706863,0,0,0
2025-10-10 15:00:00+00:00,1.0,0.5215862,0.47841382,0,1,1,0.51390916,0.48609084,1,1,1,0.52122444,0.47877556,0,1,1
2025-10-10 16:00:00+00:00,1.0,0.52686685,0.47313315,0,1,1,0.5100868,0.48991323,0,1,1,0.52892375,0.47107625,0,1,1
2025-10-10 17:00:00+00:00,1.0,0.51998264,0.48001736,0,1,1,0.50531465,0.49468535,0,0,0,0.5163728,0.4836272,0,1,1
2025-10-10 18:00:00+00:00,1.0,0.5153586,0.48464137,0,1,1,0.5116116,0.48838842,0,1,1,0.52129185,0.47870815,0,1,1
2025-10-10 19:00:00+00:00,1.0,0.52041054,0.47958946,0,1,1,0.51350325,0.48649675,0,1,1,0.5295453,0.4704547,0,1,1
2025-10-10 20:00:00+00:00,1.0,0.52731377,0.47268623,0,1,1,0.5230898,0.47691017,1,1,1,0.5328747,0.4671253,0,1,1
2025-10-10 21:00:00+00:00,1.0,0.5029789,0.49702108,1,0,0,0.49893275,0.5010673,0,0,0,0.5074675,0.4925325,1,0,0
2025-10-10 22:00:00+00:00,1.0,0.5003059,0.4996941,0,0,0,0.5148711,0.48512888,0,1,1,0.5055671,0.49443293,1,0,0
